着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,2,4,ジェンティルドンナ,牝5,55,戸崎圭太,02:35.3,,470,-2,石坂正,4
2,3,6,トゥザワールド,牡3,55,Ｗ．ビュイック,02:35.4, 3/4,524,4,池江泰寿,9
3,7,14,ゴールドシップ,牡5,57,岩田康誠,02:35.4,ハナ,510,前計不,須貝尚介,1
4,8,15,ジャスタウェイ,牡5,57,福永祐一,02:35.5,クビ,504,6,須貝尚介,3
5,7,13,エピファネイア,牡4,57,川田将雅,02:35.5,ハナ,494,2,角居勝彦,2
6,3,5,ラキシス,牝4,55,Ｃ．デムーロ,02:35.5,アタマ,458,0,角居勝彦,11
7,4,7,ラストインパクト,牡4,57,菱田裕二,02:35.5,クビ,484,-2,松田博資,7
8,1,1,トーセンラー,牡6,57,武豊,02:35.7,1    ,462,-4,藤原英昭,8
9,6,12,デニムアンドルビー,牝4,55,浜中俊,02:35.7,クビ,448,6,角居勝彦,16
10,5,10,フェノーメノ,牡5,57,田辺裕信,02:35.7,アタマ,502,8,戸田博文,6
11,6,11,サトノノブレス,牡4,57,池添謙一,02:35.9,1 1/2,512,4,池江泰寿,13
12,5,9,ウインバリアシオン,牡6,57,藤岡康太,02:35.9,ハナ,530,-4,松永昌博,10
13,2,3,ワンアンドオンリー,牡3,55,横山典弘,02:36.0, 1/2,492,4,橋口弘次郎,5
14,1,2,ヴィルシーナ,牝5,55,内田博幸,02:36.1,クビ,458,4,友道康夫,12
15,4,8,メイショウマンボ,牝4,55,武幸四郎,02:36.4,2    ,486,-4,飯田祐史,14
16,8,16,オーシャンブルー,牡6,57,蛯名正義,02:36.4,ハナ,432,-4,池江泰寿,15
